Id,Label,SOC_Major,SOC_Group
29-1229.03,Urologists,29,Healthcare Practitioners
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",39,Personal Care
11-2033.00,Fundraising Managers,11,Management
23-2011.00,Paralegals and Legal Assistants,23,Legal
13-2022.00,Appraisers of Personal and Business Property,13,Business & Financial
41-3011.00,Advertising Sales Agents,41,Sales
53-7071.00,Gas Compressor and Gas Pumping Station Operators,53,Transportation
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51,Production
17-2199.10,Wind Energy Engineers,17,Architecture & Engineering
19-2012.00,Physicists,19,"Life, Physical & Social Science"
11-3031.00,Financial Managers,11,Management
53-2022.00,Airfield Operations Specialists,53,Transportation
13-1199.06,Online Merchants,13,Business & Financial
43-4121.00,"Library Assistants, Clerical",43,Office & Admin Support
49-3041.00,Farm Equipment Mechanics and Service Technicians,49,Installation & Repair
19-2041.00,"Environmental Scientists and Specialists, Including Health",19,"Life, Physical & Social Science"
11-1021.00,General and Operations Managers,11,Management
19-3051.00,Urban and Regional Planners,19,"Life, Physical & Social Science"
35-3023.00,Fast Food and Counter Workers,35,Food Preparation
19-1031.00,Conservation Scientists,19,"Life, Physical & Social Science"
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",53,Transportation
29-1123.00,Physical Therapists,29,Healthcare Practitioners
29-1141.03,Critical Care Nurses,29,Healthcare Practitioners
29-1125.00,Recreational Therapists,29,Healthcare Practitioners
31-1121.00,Home Health Aides,31,Healthcare Support
29-1131.00,Veterinarians,29,Healthcare Practitioners
27-1026.00,Merchandise Displayers and Window Trimmers,27,Arts & Media
47-2072.00,Pile Driver Operators,47,Construction & Extraction
43-4071.00,File Clerks,43,Office & Admin Support
53-1042.01,Recycling Coordinators,53,Transportation
53-6061.00,Passenger Attendants,53,Transportation
13-1041.01,Environmental Compliance Inspectors,13,Business & Financial
35-2021.00,Food Preparation Workers,35,Food Preparation
31-2011.00,Occupational Therapy Assistants,31,Healthcare Support
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11,Management
13-1199.04,Business Continuity Planners,13,Business & Financial
29-9099.01,Midwives,29,Healthcare Practitioners
13-1131.00,Fundraisers,13,Business & Financial
11-3013.01,Security Managers,11,Management
13-2023.00,Appraisers and Assessors of Real Estate,13,Business & Financial
15-2051.01,Business Intelligence Analysts,15,Computer & Math
17-1021.00,Cartographers and Photogrammetrists,17,Architecture & Engineering
29-1081.00,Podiatrists,29,Healthcare Practitioners
19-1031.02,Range Managers,19,"Life, Physical & Social Science"
43-4111.00,"Interviewers, Except Eligibility and Loan",43,Office & Admin Support
29-2053.00,Psychiatric Technicians,29,Healthcare Practitioners
13-1161.01,Search Marketing Strategists,13,Business & Financial
25-2051.00,"Special Education Teachers, Preschool",25,Education
33-3021.00,Detectives and Criminal Investigators,33,Protective Service
13-2011.00,Accountants and Auditors,13,Business & Financial
53-7031.00,Dredge Operators,53,Transportation
13-2099.04,"Fraud Examiners, Investigators and Analysts",13,Business & Financial
43-4031.00,"Court, Municipal, and License Clerks",43,Office & Admin Support
53-3031.00,Driver/Sales Workers,53,Transportation
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",25,Education
25-1112.00,"Law Teachers, Postsecondary",25,Education
19-1013.00,Soil and Plant Scientists,19,"Life, Physical & Social Science"
23-1012.00,Judicial Law Clerks,23,Legal
47-2043.00,Floor Sanders and Finishers,47,Construction & Extraction
33-1011.00,First-Line Supervisors of Correctional Officers,33,Protective Service
31-1132.00,Orderlies,31,Healthcare Support
25-3021.00,Self-Enrichment Teachers,25,Education
29-2011.01,Cytogenetic Technologists,29,Healthcare Practitioners
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35,Food Preparation
13-1151.00,Training and Development Specialists,13,Business & Financial
39-9011.00,Childcare Workers,39,Personal Care
19-3022.00,Survey Researchers,19,"Life, Physical & Social Science"
13-2061.00,Financial Examiners,13,Business & Financial
13-1075.00,Labor Relations Specialists,13,Business & Financial
33-3051.04,Customs and Border Protection Officers,33,Protective Service
13-2099.01,Financial Quantitative Analysts,13,Business & Financial
25-9044.00,"Teaching Assistants, Postsecondary",25,Education
21-2011.00,Clergy,21,Community & Social Service
11-9121.00,Natural Sciences Managers,11,Management
13-1199.07,Security Management Specialists,13,Business & Financial
13-2052.00,Personal Financial Advisors,13,Business & Financial
11-1011.00,Chief Executives,11,Management
11-3031.01,Treasurers and Controllers,11,Management
27-1022.00,Fashion Designers,27,Arts & Media
11-9021.00,Construction Managers,11,Management
27-2012.00,Producers and Directors,27,Arts & Media
43-3041.00,Gambling Cage Workers,43,Office & Admin Support
25-2023.00,"Career/Technical Education Teachers, Middle School",25,Education
53-6041.00,Traffic Technicians,53,Transportation
19-3093.00,Historians,19,"Life, Physical & Social Science"
43-6011.00,Executive Secretaries and Executive Administrative Assistants,43,Office & Admin Support
11-3111.00,Compensation and Benefits Managers,11,Management
23-1022.00,"Arbitrators, Mediators, and Conciliators",23,Legal
31-1131.00,Nursing Assistants,31,Healthcare Support
11-3061.00,Purchasing Managers,11,Management
39-3011.00,Gambling Dealers,39,Personal Care
11-9161.00,Emergency Management Directors,11,Management
51-3092.00,Food Batchmakers,51,Production
11-9199.09,Wind Energy Operations Managers,11,Management
15-1243.01,Data Warehousing Specialists,15,Computer & Math
21-1013.00,Marriage and Family Therapists,21,Community & Social Service
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25,Education
35-1011.00,Chefs and Head Cooks,35,Food Preparation
35-3031.00,Waiters and Waitresses,35,Food Preparation
29-1141.01,Acute Care Nurses,29,Healthcare Practitioners
47-4051.00,Highway Maintenance Workers,47,Construction & Extraction
41-4011.07,Solar Sales Representatives and Assessors,41,Sales
29-1217.00,Neurologists,29,Healthcare Practitioners
43-4021.00,Correspondence Clerks,43,Office & Admin Support
19-3039.03,Clinical Neuropsychologists,19,"Life, Physical & Social Science"
25-1194.00,"Career/Technical Education Teachers, Postsecondary",25,Education
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13,Business & Financial
33-3052.00,Transit and Railroad Police,33,Protective Service
51-1011.00,First-Line Supervisors of Production and Operating Workers,51,Production
21-1091.00,Health Education Specialists,21,Community & Social Service
33-1091.00,First-Line Supervisors of Security Workers,33,Protective Service
25-2058.00,"Special Education Teachers, Secondary School",25,Education
25-1113.00,"Social Work Teachers, Postsecondary",25,Education
25-1042.00,"Biological Science Teachers, Postsecondary",25,Education
43-5011.01,Freight Forwarders,43,Office & Admin Support
29-2052.00,Pharmacy Technicians,29,Healthcare Practitioners
25-2012.00,"Kindergarten Teachers, Except Special Education",25,Education
19-3041.00,Sociologists,19,"Life, Physical & Social Science"
43-2021.00,Telephone Operators,43,Office & Admin Support
21-1094.00,Community Health Workers,21,Community & Social Service
33-3051.00,Police and Sheriff's Patrol Officers,33,Protective Service
41-9021.00,Real Estate Brokers,41,Sales
25-1067.00,"Sociology Teachers, Postsecondary",25,Education
31-2021.00,Physical Therapist Assistants,31,Healthcare Support
29-1122.00,Occupational Therapists,29,Healthcare Practitioners
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43,Office & Admin Support
33-9021.00,Private Detectives and Investigators,33,Protective Service
13-2072.00,Loan Officers,13,Business & Financial
53-6011.00,Bridge and Lock Tenders,53,Transportation
25-1052.00,"Chemistry Teachers, Postsecondary",25,Education
41-2031.00,Retail Salespersons,41,Sales
11-3121.00,Human Resources Managers,11,Management
31-9099.01,Speech-Language Pathology Assistants,31,Healthcare Support
13-1041.03,Equal Opportunity Representatives and Officers,13,Business & Financial
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,35,Food Preparation
31-9097.00,Phlebotomists,31,Healthcare Support
49-3023.00,Automotive Service Technicians and Mechanics,49,Installation & Repair
27-1024.00,Graphic Designers,27,Arts & Media
11-9033.00,"Education Administrators, Postsecondary",11,Management
43-5071.00,"Shipping, Receiving, and Inventory Clerks",43,Office & Admin Support
11-9179.02,Spa Managers,11,Management
47-5051.00,"Rock Splitters, Quarry",47,Construction & Extraction
27-2042.00,Musicians and Singers,27,Arts & Media
21-1023.00,Mental Health and Substance Abuse Social Workers,21,Community & Social Service
29-1141.02,Advanced Practice Psychiatric Nurses,29,Healthcare Practitioners
19-1023.00,Zoologists and Wildlife Biologists,19,"Life, Physical & Social Science"
31-9011.00,Massage Therapists,31,Healthcare Support
11-9081.00,Lodging Managers,11,Management
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",17,Architecture & Engineering
25-2056.00,"Special Education Teachers, Elementary School",25,Education
25-2032.00,"Career/Technical Education Teachers, Secondary School",25,Education
43-3071.00,Tellers,43,Office & Admin Support
13-1041.04,Government Property Inspectors and Investigators,13,Business & Financial
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37,Building & Grounds
11-9032.00,"Education Administrators, Kindergarten through Secondary",11,Management
11-3071.04,Supply Chain Managers,11,Management
27-3042.00,Technical Writers,27,Arts & Media
13-1111.00,Management Analysts,13,Business & Financial
29-1241.00,"Ophthalmologists, Except Pediatric",29,Healthcare Practitioners
47-4021.00,Elevator and Escalator Installers and Repairers,47,Construction & Extraction
15-1299.03,Document Management Specialists,15,Computer & Math
43-9041.00,Insurance Claims and Policy Processing Clerks,43,Office & Admin Support
33-2022.00,Forest Fire Inspectors and Prevention Specialists,33,Protective Service
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",11,Management
27-1025.00,Interior Designers,27,Arts & Media
29-1031.00,Dietitians and Nutritionists,29,Healthcare Practitioners
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51,Production
11-2022.00,Sales Managers,11,Management
17-2199.06,Microsystems Engineers,17,Architecture & Engineering
11-9199.08,Loss Prevention Managers,11,Management
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51,Production
39-5094.00,Skincare Specialists,39,Personal Care
11-3071.00,"Transportation, Storage, and Distribution Managers",11,Management
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51,Production
35-3011.00,Bartenders,35,Food Preparation
11-2011.00,Advertising and Promotions Managers,11,Management
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51,Production
43-5031.00,Public Safety Telecommunicators,43,Office & Admin Support
13-1041.08,Customs Brokers,13,Business & Financial
17-2112.02,Validation Engineers,17,Architecture & Engineering
31-1122.00,Personal Care Aides,31,Healthcare Support
29-1051.00,Pharmacists,29,Healthcare Practitioners
11-9071.00,Gambling Managers,11,Management
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,33,Protective Service
23-2093.00,"Title Examiners, Abstractors, and Searchers",23,Legal
11-9041.00,Architectural and Engineering Managers,11,Management
11-3012.00,Administrative Services Managers,11,Management
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",23,Legal
49-3011.00,Aircraft Mechanics and Service Technicians,49,Installation & Repair
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17,Architecture & Engineering
11-9141.00,"Property, Real Estate, and Community Association Managers",11,Management
19-3092.00,Geographers,19,"Life, Physical & Social Science"
51-6011.00,Laundry and Dry-Cleaning Workers,51,Production
17-2199.11,Solar Energy Systems Engineers,17,Architecture & Engineering
17-2171.00,Petroleum Engineers,17,Architecture & Engineering
29-1023.00,Orthodontists,29,Healthcare Practitioners
21-1093.00,Social and Human Service Assistants,21,Community & Social Service
25-1082.00,"Library Science Teachers, Postsecondary",25,Education
25-1066.00,"Psychology Teachers, Postsecondary",25,Education
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19,"Life, Physical & Social Science"
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25,Education
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",39,Personal Care
39-9032.00,Recreation Workers,39,Personal Care
43-3011.00,Bill and Account Collectors,43,Office & Admin Support
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",51,Production
41-1011.00,First-Line Supervisors of Retail Sales Workers,41,Sales
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,47,Construction & Extraction
19-2041.01,Climate Change Policy Analysts,19,"Life, Physical & Social Science"
39-1022.00,First-Line Supervisors of Personal Service Workers,39,Personal Care
13-1121.00,"Meeting, Convention, and Event Planners",13,Business & Financial
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51,Production
21-1014.00,Mental Health Counselors,21,Community & Social Service
25-1022.00,"Mathematical Science Teachers, Postsecondary",25,Education
47-1011.03,Solar Energy Installation Managers,47,Construction & Extraction
39-6012.00,Concierges,39,Personal Care
25-4011.00,Archivists,25,Education
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",25,Education
13-2041.00,Credit Analysts,13,Business & Financial
17-2112.01,Human Factors Engineers and Ergonomists,17,Architecture & Engineering
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,47,Construction & Extraction
19-2099.01,Remote Sensing Scientists and Technologists,19,"Life, Physical & Social Science"
15-1243.00,Database Architects,15,Computer & Math
19-3039.02,Neuropsychologists,19,"Life, Physical & Social Science"
25-9043.00,"Teaching Assistants, Special Education",25,Education
41-9011.00,Demonstrators and Product Promoters,41,Sales
53-1041.00,Aircraft Cargo Handling Supervisors,53,Transportation
13-2053.00,Insurance Underwriters,13,Business & Financial
17-1012.00,Landscape Architects,17,Architecture & Engineering
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21,Community & Social Service
19-4092.00,Forensic Science Technicians,19,"Life, Physical & Social Science"
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25,Education
27-2012.04,Talent Directors,27,Arts & Media
13-1199.05,Sustainability Specialists,13,Business & Financial
29-2051.00,Dietetic Technicians,29,Healthcare Practitioners
25-4012.00,Curators,25,Education
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51,Production
17-3011.00,Architectural and Civil Drafters,17,Architecture & Engineering
29-1221.00,"Pediatricians, General",29,Healthcare Practitioners
29-1229.05,Preventive Medicine Physicians,29,Healthcare Practitioners
27-3043.00,Writers and Authors,27,Arts & Media
53-2031.00,Flight Attendants,53,Transportation
43-2011.00,"Switchboard Operators, Including Answering Service",43,Office & Admin Support
51-5112.00,Printing Press Operators,51,Production
29-1222.00,"Physicians, Pathologists",29,Healthcare Practitioners
39-5092.00,Manicurists and Pedicurists,39,Personal Care
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",43,Office & Admin Support
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41,Sales
29-1128.00,Exercise Physiologists,29,Healthcare Practitioners
29-1129.02,Music Therapists,29,Healthcare Practitioners
11-9131.00,Postmasters and Mail Superintendents,11,Management
25-1053.00,"Environmental Science Teachers, Postsecondary",25,Education
19-2032.00,Materials Scientists,19,"Life, Physical & Social Science"
39-1013.00,First-Line Supervisors of Gambling Services Workers,39,Personal Care
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,27,Arts & Media
29-1211.00,Anesthesiologists,29,Healthcare Practitioners
29-1213.00,Dermatologists,29,Healthcare Practitioners
13-1041.07,Regulatory Affairs Specialists,13,Business & Financial
17-2131.00,Materials Engineers,17,Architecture & Engineering
29-1071.00,Physician Assistants,29,Healthcare Practitioners
27-3091.00,Interpreters and Translators,27,Arts & Media
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41,Sales
19-3033.00,Clinical and Counseling Psychologists,19,"Life, Physical & Social Science"
53-7065.00,Stockers and Order Fillers,53,Transportation
11-9151.00,Social and Community Service Managers,11,Management
29-2099.08,Patient Representatives,29,Healthcare Practitioners
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",25,Education
43-5051.00,Postal Service Clerks,43,Office & Admin Support
19-3011.00,Economists,19,"Life, Physical & Social Science"
51-9191.00,Adhesive Bonding Machine Operators and Tenders,51,Production
19-3011.01,Environmental Economists,19,"Life, Physical & Social Science"
29-2033.00,Nuclear Medicine Technologists,29,Healthcare Practitioners
29-1214.00,Emergency Medicine Physicians,29,Healthcare Practitioners
19-1012.00,Food Scientists and Technologists,19,"Life, Physical & Social Science"
43-6012.00,Legal Secretaries and Administrative Assistants,43,Office & Admin Support
15-2011.00,Actuaries,15,Computer & Math
19-2041.03,Industrial Ecologists,19,"Life, Physical & Social Science"
25-4013.00,Museum Technicians and Conservators,25,Education
29-9092.00,Genetic Counselors,29,Healthcare Practitioners
15-2021.00,Mathematicians,15,Computer & Math
41-9022.00,Real Estate Sales Agents,41,Sales
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33,Protective Service
19-1011.00,Animal Scientists,19,"Life, Physical & Social Science"
23-1023.00,"Judges, Magistrate Judges, and Magistrates",23,Legal
25-1065.00,"Political Science Teachers, Postsecondary",25,Education
27-1011.00,Art Directors,27,Arts & Media
29-2031.00,Cardiovascular Technologists and Technicians,29,Healthcare Practitioners
29-1229.04,Physical Medicine and Rehabilitation Physicians,29,Healthcare Practitioners
33-9099.02,Retail Loss Prevention Specialists,33,Protective Service
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,51,Production
41-9031.00,Sales Engineers,41,Sales
29-1181.00,Audiologists,29,Healthcare Practitioners
19-1022.00,Microbiologists,19,"Life, Physical & Social Science"
29-1299.01,Naturopathic Physicians,29,Healthcare Practitioners
25-2021.00,"Elementary School Teachers, Except Special Education",25,Education
43-4131.00,Loan Interviewers and Clerks,43,Office & Admin Support
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",25,Education
19-1029.03,Geneticists,19,"Life, Physical & Social Science"
43-4151.00,Order Clerks,43,Office & Admin Support
29-1216.00,General Internal Medicine Physicians,29,Healthcare Practitioners
41-2021.00,Counter and Rental Clerks,41,Sales
39-7012.00,Travel Guides,39,Personal Care
43-3061.00,Procurement Clerks,43,Office & Admin Support
35-2015.00,"Cooks, Short Order",35,Food Preparation
29-1224.00,Radiologists,29,Healthcare Practitioners
29-1161.00,Nurse Midwives,29,Healthcare Practitioners
43-9061.00,"Office Clerks, General",43,Office & Admin Support
33-3012.00,Correctional Officers and Jailers,33,Protective Service
17-2141.02,Automotive Engineers,17,Architecture & Engineering
23-1011.00,Lawyers,23,Legal
29-2036.00,Medical Dosimetrists,29,Healthcare Practitioners
33-3011.00,Bailiffs,33,Protective Service
31-9095.00,Pharmacy Aides,31,Healthcare Support
53-2012.00,Commercial Pilots,53,Transportation
39-5093.00,Shampooers,39,Personal Care
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25,Education
